Year,JulianDay,Hour,Minute,Second,Latitude,Longitude,Depth(km)
2014,84,13,27,38.9284,-2.28519,-79.23900,23.6671
2014,84,14,38,2.3765,-2.27726,-79.22025,23.1173
2014,84,15,8,31.5361,-2.27411,-79.25250,22.1674
2014,84,15,11,38.3175,-2.29072,-79.20925,23.6045
2014,84,16,41,6.5327,-2.26266,-79.22450,22.6803
2014,84,16,45,59.3834,-2.28695,-79.21100,24.0421
2014,84,17,22,38.8391,-2.34005,-79.23125,24.4780
2014,84,17,48,55.7451,-1.21121,-78.16438,5.0164
2014,84,18,0,9.4730,-2.25800,-79.22925,23.2429
2014,84,18,50,8.5040,-2.28481,-79.22425,23.3546
2014,84,20,11,19.2481,-2.25673,-79.24500,18.9804
2014,84,21,55,37.8652,-2.18331,-79.27025,-5.0049
2014,84,23,31,53.2107,-2.31628,-79.20162,30.1287
2014,85,3,28,5.4606,-2.29663,-79.24787,22.5918
2014,85,3,39,38.8859,-2.28380,-79.22363,21.8172
2014,85,12,6,46.8410,-2.30482,-79.19100,23.5915
2014,85,19,0,58.0190,-2.32017,-79.20563,24.4161
2014,85,23,41,41.5132,-2.27338,-79.61063,85.3925
2014,86,1,34,32.0217,-2.26404,-79.23387,22.8052
2014,86,3,54,26.4130,-2.29010,-79.21237,25.7920
2014,86,7,27,49.2758,-2.27020,-79.20187,18.4926
2014,86,9,53,35.5947,-2.28808,-79.23675,25.3045
2014,86,11,2,14.4326,-2.29828,-79.23575,26.1542
2014,86,13,16,10.3981,-2.28606,-79.24438,19.7671
2014,86,14,59,23.9282,-2.31048,-79.26388,25.2414
2014,86,15,9,42.5714,-2.29878,-79.20888,24.3292
2014,87,6,38,4.4175,-2.32747,-79.21237,23.4659
2014,87,8,16,47.4119,-2.28909,-79.25100,24.0295
2014,87,13,49,55.0564,-2.31501,-79.22275,23.3662
2014,87,14,5,10.6525,-2.30331,-79.23875,23.0416
2014,88,1,42,50.6335,-2.28720,-79.20875,25.3296
2014,89,10,0,35.4152,-1.28094,-78.42000,18.2652
2014,89,12,36,15.2117,-2.27297,-79.20788,20.3050
2014,89,13,25,53.4543,-1.27478,-78.40800,18.1528
2014,89,13,42,49.4470,-2.28393,-79.20600,23.2672
2014,89,17,46,46.5913,-1.08839,-78.28487,10.5432
2014,90,0,10,43.8636,-1.53546,-79.93600,55.7856
2014,90,3,0,6.8218,-2.31490,-79.26225,30.2412
2014,90,7,59,6.4655,0.08157,-77.92000,0.0258
